LABEL,names
0,All CAUSES
A,"Communicable, maternal, perinatal and nutritional conditions"
A01,Tuberculosis
A02,HIV/ and other Sexually transmitted diseases (STDs)
A02a,Sexually transmitted diseases (STDs) excluding HIV
A02b,HIV/AIDS
A04,Meningitis
A05,Encephalitis
A06,Hepatitis
A06a,Acute hepatitis B
A06b,Acute hepatitis C
A07,Respiratory infections
A08,Maternal conditions
A09,Neonatal conditions
A99,Other Infectious Diseases
B,Cancer/Malignant neoplasms
B01,Mouth and oropharynx cancers
B02,Oesophagus cancer
B03,Stomach cancer
B04,Colon and rectum cancers
B05,Liver cancer
B06,Pancreas cancer
B07,"Trachea, bronchus and lung cancers"
B08,Melanoma and other skin cancers
B09,Breast cancer
B10,Uterine cancer
B11,Ovary cancer
B12,Prostate cancer
B13,"Kidney, renal pelvis and ureter cancer"
B14,Bladder cancer
B15,Brain and nervous system cancers
B16,Lymphomas and multiple myeloma
B16a,Hodgkin lymphoma
B16b,Non-Hodgkin lymphoma
B16c,Multiple myeloma
B17,Leukaemia
B99,Other malignant neoplasms
C,Cardiovascular diseases
C01,Hypertensive heart disease
C02,Ischaemic heart disease
C03,Stroke
C04,"Cardiomyopathy, myocarditis, endocarditis"
C05,Congestive heart failure
C99,Other or unspecified cardiovascular diseases
D,Other Chronic
D01,Diabetes mellitus
D02,"Endocrine, blood, immune disorders"
D03,Mental Health disorders
D04,Substance use
D04a,Alcohol use disorders
D04b,Opioid use disorders
D04c,Cocaine use disorders
D04d,Amphetamine use disorders
D05,Alzheimerâ€™s disease and other dementias
D06,Other neurological conditions
D09,Digestive diseases (excluding cirrhosis)
D10,Kidney diseases
D10a,Acute glomerulonephritis
D10b,Chronic kidney diesease due to diabetes
D10c,Other chronic kidney disease
D11,Cirrhosis of the liver
D12,Congenital anomalies
D66,Chronic obstructive pulmonary disease
D67,Asthma
D68,Other respiratory diseases
D99,Other Chronic Conditions
E,Injuries
E01,Unintentional injuries
E01a,Road injury
E01b,Falls
E01x,Other unintentional injuries
E02,Suicide/Self-harm
E03,Homicide/Interpersonal violence
E03a,Homicide excluding legal intervention
E03b,Legal intervention
E03c,"Execution, War, Terroism"
Z,Unknown/Missing Value
Z01,"Symptoms, signs and ill-defined conditions, not elsewhere classified"
Z02,Unknown/Missing Value
Z03,Code does not map
00,UNGROUPABLE
01,"NERVOUS SYSTEM, DISEASES & DISORDERS"
02,"EYE, DISEASES & DISORDERS"
03,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS"
04,"RESPIRATORY SYSTEM, DISEASES & DISORDERS"
05,"CIRCULATORY SYSTEM, DISEASES & DISORDERS"
06,"DIGESTIVE SYSTEM, DISEASES & DISORDERS"
07,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS"
08,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS"
09,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS"
10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS"
11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS"
12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS"
13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS"
14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM"
15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD
16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS"
17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS
18,INFECTIOUS & PARASITIC DISEASES
19,MENTAL DISEASES & DISORDERS
20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES
21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS"
22,BURNS
23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES
24,MULTIPLE SIGNFICANT TRAUMA
25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS;
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC
003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURE"
004,"TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE"
005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
006,LIVER TRANSPLANT WITHOUT MCC
007,LUNG TRANSPLANT
008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT
010,PANCREAS TRANSPLANT
011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITH MCC"
012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITH CC"
013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITHOUT CC/MCC"
014,ALLOGENEIC BONE MARROW TRANSPLANT
016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC
020,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH MCC
021,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH CC
022,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT CC/MCC
023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W
024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MCC
025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
028,SPINAL PROCEDURES WITH MCC
029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
030,SPINAL PROCEDURES WITHOUT  CC/MCC
031,VENTRICULAR SHUNT PROCEDURES WITH MCC
032,VENTRICULAR SHUNT PROCEDURES WITH CC
033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
034,CAROTID ARTERY STENT PROCEDURE WITH MCC
035,CAROTID ARTERY STENT PROCEDURE WITH CC
036,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
037,EXTRACRANIAL PROCEDURES WITH MCC
038,EXTRACRANIAL PROCEDURES WITH CC
039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC"
041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR"
042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC"
052,SPINAL DISORDERS AND INJURIES WITH CC/MCC
053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC
054,NERVOUS SYSTEM NEOPLASMS WITH MCC
055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC
059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC
060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC"
062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC"
063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC"
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC
068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT  MCC
069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC
070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC
074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC
075,VIRAL MENINGITIS WITH CC/MCC
076,VIRAL MENINGITIS WITHOUT CC/MCC
077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC
078,HYPERTENSIVE ENCEPHALOPATHY WITH CC
079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
080,NONTRAUMATIC STUPOR AND COMA WITH MCC
081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC
082,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH MCC"
083,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH CC"
084,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITHOUT CC/MCC"
085,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH MCC"
086,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH CC"
087,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITHOUT CC/MCC"
088,CONCUSSION WITH MCC
089,CONCUSSION WITH CC
090,CONCUSSION WITHOUT CC/MCC
091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC
098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC
099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
100,SEIZURES WITH MCC
101,SEIZURES WITHOUT MCC
102,HEADACHES WITH MCC
103,HEADACHES WITHOUT MCC
113,ORBITAL PROCEDURES WITH CC/MCC
114,ORBITAL PROCEDURES WITHOUT CC/MCC
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT
116,INTRAOCULAR PROCEDURES WITH CC/MCC
117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC
123,NEUROLOGICAL EYE DISORDERS
124,OTHER DISORDERS OF THE EYE WITH MCC
125,OTHER DISORDERS OF THE EYE WITHOUT MCC
129,MAJOR HEAD AND NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE
130,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC
131,CRANIAL AND FACIAL PROCEDURES WITH CC/MCC
132,CRANIAL AND FACIAL PROCEDURES WITHOUT CC/MCC
133,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC/MCC"
134,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC"
135,SINUS AND MASTOID PROCEDURES WITH CC/MCC
136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC
137,MOUTH PROCEDURES WITH CC/MCC
138,MOUTH PROCEDURES WITHOUT CC/MCC
139,SALIVARY GLAND PROCEDURES
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC"
147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC"
148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC"
149,DYSEQUILIBRIUM
150,EPISTAXIS WITH MCC
151,EPISTAXIS WITHOUT MCC
152,OTITIS MEDIA AND URI WITH MCC
153,OTITIS MEDIA AND URI WITHOUT MCC
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC"
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC"
156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC"
157,DENTAL AND ORAL DISEASES WITH MCC
158,DENTAL AND ORAL DISEASES WITH CC
159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC
163,MAJOR CHEST PROCEDURES WITH MCC
164,MAJOR CHEST PROCEDURES WITH CC
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
175,PULMONARY EMBOLISM WITH MCC
176,PULMONARY EMBOLISM WITHOUT MCC
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC
180,RESPIRATORY NEOPLASMS WITH MCC
181,RESPIRATORY NEOPLASMS WITH CC
182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC
183,MAJOR CHEST TRAUMA WITH MCC
184,MAJOR CHEST TRAUMA WITH CC
185,MAJOR CHEST TRAUMA WITHOUT CC/MCC
186,PLEURAL EFFUSION WITH MCC
187,PLEURAL EFFUSION WITH CC
188,PLEURAL EFFUSION WITHOUT CC/MCC
189,PULMONARY EDEMA AND RESPIRATORY FAILURE
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC
196,INTERSTITIAL LUNG DISEASE WITH MCC
197,INTERSTITIAL LUNG DISEASE WITH CC
198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC
199,PNEUMOTHORAX WITH MCC
200,PNEUMOTHORAX WITH CC
201,PNEUMOTHORAX WITHOUT CC/MCC
202,BRONCHITIS AND ASTHMA WITH CC/MCC
203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC
204,RESPIRATORY SIGNS AND SYMPTOMS
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC
207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS
208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <
96 HOURS,
215,OTHER HEART ASSIST SYSTEM IMPLANT
216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC
217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC
218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROEDURESC WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION  WITHOUT CC/
222,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MCC
223,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MCC
224,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MCC
225,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MCC
226,CARDIAC DEFIBRILLATOR IMPLANT  WITHOUT CARDIAC CATHETERATION WITH MCC
227,CARDIAC DEFIBRILLATOR IMPLANT  WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC
231,CORONARY BYPASS WITH PTCA WITH MCC
232,CORONARY BYPASS WITH PTCA WITHOUT MCC
233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC
234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC
236,CORONARY BYPASS  WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC
240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC
241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC
244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC
245,AICD GENERATOR PROCEDURES
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS
247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS
249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC
250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC
251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC
252,OTHER VASCULAR PROCEDURES WITH MCC
253,OTHER VASCULAR PROCEDURES WITH CC
254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC
255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC
256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC
257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC
258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC
259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC
263,VEIN LIGATION AND STRIPPING
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
265,AICD LEAD PROCEDURES
