comID,comName
1.1,Livermore Central and West/Spring Town
1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner
2a,Berkeley South and West/Emeryville/Oakland Northwest
2b,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks
2c,Oakland West Central
2d,Fruitvale/Melrose/Oakland Airport
2e,Alameda/Jack London Square/Oakland Inner Harbor
2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East
2g,San Leandro West/San Lorenzo West/Hayward West
2h,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East
2i,Fremont South/Mission San Jose/Newark South/Warm Springs
2j,Centerville/Fremont West/Irvington/Newark East Central
2k,Dublin/Pleasanton/Santa Rita/Sunol
2l,Fremont East/Niles/Union City Central
2m,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen
2n,Hayward Central
3,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords
4,Ione/Jackson/Pine Grove/Sutter Creek
5,Plymouth
6,Pioneer
10,Oroville/Palermo/Thermalito
11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown
7.1,Chapmantown/Chico
7.2,Capay/Lake/Nord
7.3,Butte Meadows/Cohasset/Forest Ranch
7.4,Durham
8,Magalia/Paradise/Stirling City
9,Biggs/East Biggs/Gridley
12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point
15,Colusa
16.1,Williams
16.2,Loduga/Maxwell/Princeton/Stonyford
16.3,Arbuckle/Grimes
17,Brentwood East/Byron/Discovery Bay/Knightsen
18a,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo
18b,Concord West/Martinez East/Martinez Waterfront/Pacheco/Pleasant Hill East
18c,Avon/Clyde/Concord Central/Pittsburg Southwest
18d,Antioch North and West/Nichols/Pittsburg Central and East/West Pittsburg
18e,Brentwood Central and West/Oakley
18f,Richmond Central/San Pablo Central
18g,El Cerrito/El Sobrante/Kensington/Richmond North/Richmond Southeast/Wildcat Canyon
18h,Alamo/Danville/Diablo/San Ramon
18i,Lafayette/Martinez South/Moraga/Orinda/Pleasant Hill/Rheem Valley/Rossmoor Leisure World/Walnut Creek Southwest
18j,Clayton/Concord South/Walnut Creek Central and East
19,Crescent City/Gasquet/Klamath/Smith River
22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville
23.1,Cameron Park/El Dorado Hills/Shingle Springs
23.2,Camino/Pollock Pines
23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville
24,South Lake Tahoe
25,Firebaugh/Mendota
26,Cantua Creek/San Joaquin/Tranquility
27,Coalinga
28,Huron
29,Biola/Herndon/Highway City/Kerman
30,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma
31,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake
32,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley
35a,Fresno Northwest
35b,Clovis West/Fresno East
35c,Fresno West Central
35d,Fresno East Central
35e,Fresno South and West
35f,Fresno North Central
36.1,Orland
36.2,Hamilton City
37,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows
38,Hoopa/Willow Creek
39,Arcata/Eureka
40,Bluelake/McKinleyville/Orick/Trinidad
42,Ferndale/Fortuna/Rio Dell/Scotia
44,Garberville/Redway
46,Bard/Winterhaven
47,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach
48,El Centro/Heber/Holtville/Imperial/Seeley
49,Calexico/Ocotillo
50,Brawley/Westmorland
53,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson
54,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence
55,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville
57.1,Fort Tejon/Frazier Park/Lebec/Pine Mountain
57.2,Blackwell?s Corners/Ford City/Maricopa/McKittrick/Taft
58.1,Shafter
58.2,Lost Hills/Wasco
59,Buttonwillow
60,Delano/McFarland
61,Arvin/Lamont/Weed Patch
62,Bear Valley Springs/Keene/Stallion Springs/Tehachapi
63,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights
64,Inyokern/Ridgecrest
65,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond
66a,Bakersfield Northeast/Oildale
66b,Bakersfield East/Lakeview/La Loma
66c,Bakersfield Southwest
66d,Bakersfield Northwest/Rosedale
67,Avenal
68,Corcoran/Kettleman City/Stratford
69,Armona/Hanford/Lemoore
70.1,Kelseyville/Lakeport
70.2,Lucerne/Nice/Upper Lake
71.1,Clearlake/Clearlake Oaks
71.2,Lower Lake
71.3,Cobb/Hidden Valley/Middletown
72,Susanville
73,Bieber/Madeline/Nubieber
74,Doyle
75,Westwood
76.1a,Canyon Country/Santa Clarita West/Saugus
76.1b,Newhall/Santa Clarita East/Valencia
76.2,Castaic/Val Verde
77.1a,Palmdale Central
77.1b,Desert View Highlands/Lancaster West/Palmdale Northwest/Quartz Hill
77.1c,Lancaster Central/Palmdale North Central
77.2,Lake Los Angeles
77.3,Juniper Hills/Littlerock/Longview/Pearblossom/Valyermo
77.4,Acton/Ravenna
77.5,Elizabeth Lake/Gorman/Green Valley/Lake Hughes/Leona Valley/Neenach
78.1,Avalon
78.2a,Echo Park/Hollywood North Central/Silverlake South
78.2aa,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga
78.2aaaa,Harbor Gateway South/Lomita/Torrance East Central
78.2b,Pico-Union
78.2bb,North Hollywood Central and North
78.2bbb,Compton East
78.2bbbb,Gardena West/Hawthorne
78.2c,Bell Northeast/Bell Gardens/Commerce/Maywood/Montebello South
78.2cc,Van Nuys Central
78.2ccc,Huntington Park/South Gate West/Walnut Park
78.2cccc,Chatsworth
78.2d,City Terrace East/East Los Angeles
78.2dd,Burbank South/Eagle Rock/Glendale Northwest
78.2ddd,Bell Southwest/Cudahy/Vernon
78.2dddd,Arcadia Southeast/San Gabriel North
78.2e,Country Club Park/Koreatown/Mid-City East
78.2ee,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park
78.2eee,Downey Northeast
78.2eeee,Alhambra/El Sereno South/San Gabriel Central
78.2f,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood
78.2ff,Glassell Park/Glendale Southeast/Silverlake North
78.2fff,Firestone/Florence South/Watts
78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake
78.2g,Hollywood South Central/Inner Sunset
78.2gg,Angeles National Forest West/Kagel Canyon/Lake View Terrace/San Fernando East/Sylmar
78.2ggg,South Central Northeast
78.2gggg,Altadena East/Angeles National Forest East/Azusa North/Duarte North/Glendora/Pasadena East
78.2h,Boyle Heights Central/City Terrace West
78.2hh,Granada Hills/Mission Hills/Porter Ranch
78.2hhh,Altadena West/Pasadena Northwest
78.2hhhh,Canoga Park Northeast/Winnetka
78.2i,El Sereno North/Highland Park/Montecito Heights/Monterey Hills
78.2ii,Reseda South/Van Nuys Southwest
78.2iii,North Long Beach
78.2iiii,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North
78.2j,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills
78.2jj,Sherman Oaks/Studio City/Valley Village
78.2jjj,Long Beach West Central
78.2jjjj,Norwalk/Studebaker
78.2k,South Central Northwest
78.2kk,North Hills/Northridge North
78.2kkk,Belmont Shore/Long Beach East/Long Beach Shoreline/Los Altos/Naples
78.2kkkk,Santa Monica Central/Sawtelle/West Los Angeles
78.2l,Exposition Park/Leimert Park
78.2ll,Arleta/Pacoima West/Panorama City/San Fernando West
78.2lll,Bixby Knolls/Long Beach Central
78.2m,Bellflower/Paramount South
78.2mm,Pasadena South/San Marino/South Pasadena
78.2mmm,Downtown Southeast/Florence North
78.2n,Cerritos/Hawaiian Gardens
78.2nn,Montebello North/Monterey Park/South San Gabriel
78.2nnn,Crenshaw/Culver City East/Mid-City South/West Adams
78.2o,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West
78.2oo,El Monte/Five Points
78.2ooo,Paramount North/Willowbrook
78.2p,Long Beach Port/San Pedro East/Wilmington
78.2pp,Hacienda Heights/Industry Central
78.2ppp,Pacoima East/Sun Valley West
78.2q,Del Aire/Inglewood West/Los Angeles International Airport
78.2qq,Asuza/Charter Oak/Covina
78.2qqq,Rosemead/San Gabriel South/South El Monte West/Temple City West
78.2r,Inglewood East/Lennox
78.2rr,Glendale Northeast/La Canada-Flintridge/La Crescenta/Montrose/Sunland/Tujunga/Verdugo City
78.2rrr,La Mirada/Santa Fe Springs South
78.2s,South Central Southwest
78.2ss,Pomona East and South
78.2sss,Downey Southwest/Lynwood North Central/South Gate East
78.2t,Hermosa Beach/Lawndale North/Manhattan Beach/Redondo Beach North
78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas
78.2ttt,Burbank North/North Hollywood South
78.2u,Redondo Beach Central and South/Torrance West Central
78.2uu,La Habra Heights/Whittier
78.2uuu,Athens/Gardena Northeast/Harbor Gateway North
78.2v,Carson/Compton West/Rancho Dominguez
78.2vv,Los Nietos/Santa Fe Springs Northeast
78.2vvv,Diamond Bar/Industry East/Phillips Ranch/Pomona West/Walnut
78.2w,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood
78.2ww,Pico Rivera/Santa Fe Springs Northwest
78.2www,Valinda/West Covina
78.2x,Hancock Park/Mid-City West/Park La Brea
78.2xx,Agoura Hills/Calabasas/Hidden Hills/West Hills/Westlake
78.2xxx,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre
78.2y,Culver City North/Palms
78.2yy,Encino/Tarzana/Warner Center/Woodland Hills
78.2yyy,Bassett/Industry West/La Puente
78.2z,Mar Vista/Ocean Park/Santa Monica South/Venice
78.2zz,Northridge South/Reseda North
78.2zzz,Baldwin Park/Irwindale
79.1,Oakhurst/Yosemite Lakes
79.2,Chowchilla
80,Madera
81,Bolinas/Dillon Beach/Inverness/Point Reyes Station/Stinson Beach/Tomales
82,Angel Island/Belvedere/Marin City/Sausalito/Strawberry Manor/Tiburon
83a,Corte Madera/Fairfax/Kentfield/Larkspur/Marinwood/Mill Valley/Ross/San Anselmo/San Rafael West/Terra Linda
83b,Bel Marin Keys/Black Point/Ignacio/Novato/San Rafael East/Santa Venetia
85,Bootjack/Cathey?s Valley/Coulterville/Don Pedro/El Portal/Fish Camp/Mariposa
86,Yosemite Valley
87.1,Boonville/Navarro/Philo/Yorkville
87.2,Elk/Little River/Mendocino
88,Anchor Bay/Gualala/Manchester/Point Arena
89,Fort Bragg/Westport
90,Laytonville/Leggett/Piercy
91,Brooktrails/Pine Mountain/Willits
92,Covelo/Dos Rios
93.1,Ukiah
93.2,Redwood Valley
93.3,Potter Valley
93.4,Talmage
93.5,Hopland
94,Dos Palos/Gustine/Los Banos
95,Ballico/Cressey/Delhi/Hilmar/Livingston
96,Atwater/Snelling/Winton
97.1,Merced Central and North/Merced Southeast
97.2,El Nido/Merced Southwest
97.3,Le Grand/Planada
100,Adin/Lookout/Newell
98,Alturas/Canby
99,Surprise Valley
102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker
103,Mammoth Lakes
104,Big Sur/Lucia
105,King City/San Lucas
106,Bradley/San Ardo
107,Chualar/Gonzalez/Greenfield/Soledad
108,Carmel Valley/Castroville/Marina/Moss Landing/Ord
109.1,Aromas/Las Lomas/Pajaro/Prunedale
109.2,Salinas/Spreckels
110,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside
111.1,Angwin/Deer Park/St. Helena
111.2,Calistoga
111.3,Berryessa
112.1,Napa Central
112.2,Napa Northeast/Rutherford/Yountville
112.3,American Canyon
113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood
114,North Bloomfield/North San Juan/Truckee
115.1,Dana Point/San Clemente/San Juan Capistrano
115.2a,Lake Forest East/Mission Viejo Central and South
115.2b,Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon
115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel
115.2d,Laguna Beach/Laguna Woods
116a,Buena Park/La Palma
116b,Santa Ana Central
116c,Anaheim West
116d,Irvine South/Newport Beach/Newport Coast/San Joaquin Hills
116e,Cypress/Los Alamitos/Rossmoor
116f,Fullerton Central and South
116g,Santa Ana South
116h,City of Orange South/Santa Ana North/Tustin Foothills/Tustin West
116i,Garden Grove South/Santa Ana West
116j,Fountain Valley/Huntington Beach Central
116k,Brea West/Fullerton North/La Habra
116l,Anaheim Central
116m,Brea East/Placentia Central and North/Yorba Linda
116n,Anaheim Hills/City of Orange East/Villa Park
116o,Irvine Central/Tustin East
116p,Costa Mesa
116q,Anaheim East/City of Orange North/Placentia Southwest
116r,Garden Grove North/Stanton
116s,Huntington Beach North/Seal Beach East/Westminster
116t,Huntington Beach South
116u,Huntington Beach West/Seal Beach West
116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East
117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista
118,Colfax/Meadow Vista
119,Auburn/Newcastle/Lincoln/Sheridan
120,Foresthill
121.1,Roseville
121.2,Rocklin/Granite Bay
122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain
123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden
123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk
124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton
125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley
126,Blythe
127,Chiriaco Summit/Desert Center/Eagle Mountain
128,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal
129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South
129.2,Bermuda Dunes North/Indio North
129.3,Agua Caliente/Palm Springs Central
129.4,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North
130,Idyllwild/Pine Cove
131a,Lake Elsinore/Murrieta West/Sedco Hills/Wildomar
131b,French Valley/Murrieta East/Temecula/Winchester
131c,Temecula South
132,East Hemet/Hemet/Valle Vista
133.1,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester
133.2,Homeland/Lakeview/San Jacinto
133.3,Glen Valley/Mead Valley
134,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley
135a,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University
135b,Edgemont/Orange Crest/Woodcrest
135c,Casablanca/Riverside Central
135d,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest
135e,Corona North/Glen Avon/Jurupa/Norco
135f,Corona South/El Cerrito/Temescal
135g,Moreno Valley
136,Clay/Galt/Herald/Wilton
137,Clarksburg/Hood/Isleton/Locke/Walnut Grove
138,Rancho Murieta/Sloughhouse
139a,Elverta/Natomas/North Highlands/Rio Linda
139b,Carmichael/Fair Oaks/Gold River
139c,Antelope/Citrus Heights/Foothill Farms
139d,Arcade/Arden/Town and Country Village
139e,Folsom/Orangevale
139f,Florin/Fruitridge/Oak Park/Parkway/South Sacramento
139g,East Sacramento/La Riviera/Mather/Rancho Cordova/Rosemont
139h,Elk Grove/Laguna/Laguna West/Lakeside
139i,Greenhaven/Land Park/Midtown/Pocket/Riverside/Sutterville
139j,Capitol Park/Del Paso Heights/Downtown/Gardenland/North Sacramento
139k,Freeport/Meadowview
139l,Vineyard
139m,Central South Elk Grove/Franklin
140,Hollister/Paicines/Panoche/San Juan Bautista
142,Argus/Borosalvay/Trona
143,Big River/Needles
144.1,USMC Air-Ground Combat Training Center
144.2,Joshua Tree/Landers/Morongo Valley/Rimrock/Yucca Valley
144.3,Cadiz/Twentynine Palms
145.1a,Hesperia West/Mountain View Acres/Victorville Central and South
145.1b,Apple Valley/Hesperia East
145.2,Adelanto/Phelan/Pinon Hills/Victorville Northwest
145.3,Lucerne Valley
146,Big Bear Lake/Fawnskin/Moorridge/Running Springs/Sugarloaf
147,Blue Jay/Crestline/Lake Arrowhead/Skyforest/Twin Peaks
148,Lytle Creek/Wrightwood
149,Barstow/Daggett/Lenwood/Nebo Center/Oro Grande/Yermo
150,Baker/Harvard/Newberry Springs
151a,Chino Hills/Chino West Central/Los Serranos/Sleepy Hollow
151b,Ontario Northeast/Rancho Cucamonga South
151c,Montclair/Ontario Northwest/Upland South
151d,Rancho Cucamonga Northwest/San Antonio Heights/Upland North
151e,Fontana North/Rancho Cucamonga Northwest/Rialto Northeast
151f,Bloomington/Colton Central and West/Fontana South/Rialto South
151g,Muscoy/San Bernardino Central
151h,Fontana Central/Rialto Central
151i,Colton Southeast/Grand Terrace/Loma Linda/Redlands North
151j,Mentone/Redlands South/Yucaipa
151k,Highland/San Bernardino East
151l,Chino Northeast/Fontana Southwest/Ontario South
152,Borrego Springs/Cuyamaca/Julian/Kentwood in the Pines/Laguna/Ocotillo Wells/Palomar/Pine Valley/Warner Springs
153.1,Pala/Pauma Valley
153.2,Rincon/San Pasqual/Valley Center
154,Barona/Moreno
155,Alpine/Blossom Valley/Crest/Descanso/Glen Oaks/Harbison Canyon/Japatul/Palo Verde
156a,Encinitas Central/Leucadia/Oceanside North and West/San Luis Rey/South Oceanside
156b,Carlsbad East/Encinitas East/Oceanside East
156c,Cardiff by the Sea/Eden Gardens/Harmony Grove/La Costa/Ocean Hills/Lomas Santa Fe/Olivehain/Rancho Santa Fe/San Marcos South/Solana Beach/Vista South
156d,Oceanside East/San Marcos West/Vista
156e,Escondido Central and South/San Marcos Central and East
156f,Escondido East/Hidden Meadows/Poway North
157,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul
158.1,Ramona/Rock Haven/Rosemont
158.2,Ballena/Four Corners/San Diego Country Estates
159,Buckman Springs/Canyon City/Jacumba/Morena Village/Tecate
160,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm
161a,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City
161b,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa
161c,Downtown/Golden Hill/Logan Heights
161d,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park
161e,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights
161f,La Mesa/Rolando South
161g,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest
161h,El Cajon Central and South/Fletcher Hills
161i,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley
161j,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego
161k,Chula Vista Central and Northwest/National City West
161l,Lemon Grove South/Paradise Hills
161m,Carlton Hills/El Cajon North/Eucalyptus Hills/Lake Murray/Loma Portal/San Carlos/Santee
161n,Civic Center/Coronado/Harbor Island/Imperial Beach East/Nestor West/Ocean Beach/Point Loma/Silver Strand
161o,Allied Gardens/Del Cerro/Grantville/Miramar/Tierrasanta
161p,Carmel Valley/Del Dios/Escondido South/Fairbanks Ranch/Poway Southeast/Rancho Bernardo Southeast/Rancho Penasquitos
161q,Poway Central/Poway Grove/Rancho Bernardo Southwest/Sabre Springs
161r,Crown Point/Del Mar/La Jolla/Pacific Beach
161s,Cockatoo Grove/Eastlake Greens/Otay Mesa
161t,Bonita/Chula Vista East/Eastlake/La Presa/Lynwood Hills/Rancho del Rey/Sunnyside/Sunny Vista
161u,Bostonia/Glenview/Granite Hills/Hillsdale/Johnstown/Lakeside/Riverview/Winter Gardens
161v,Mira Mesa/Scripps Miramar Ranch
162a,Chinatown/Civic Center/Inner Mission/North Beach/South of Market/Tenderloin/Western Addition
162b,Cow Hollow/Financial District/Marina/Nob Hill/Pacific Heights/Russian Hill/Seacliff
162c,Bernal Heights/Mission District/Potrero Hill
162e,Golden Gate Park/Parkside/Sunset/West Portal
162f,Bayview/Candlestick/Hunters Point/Portola/Visitacion Valley
162g,Buena Vista/Castro/Eureka Valley/Forest Hill/Haight-Ashbury/Noe Valley/West of Twin Peaks
162h,Laurel Heights/Ocean Beach North/Richmond/Sutro Heights
162d,Excelsior/Glen Park/Ingleside/Lake Merced/Merced Heights/Ocean Beach South/Park Merced/Saint Francis Wood/Westwood Park
163,Tracy
164.1,Lathrop/Manteca
164.2,Banta/Escalon/Ripon/Vernalis
165,Farmington/Linden
166,Lodi
167,Lockeford/North Woodbridge
168,South Woodbridge/Thornton
169a,Stockton North Central/Stockton Northeast
169b,French Camp/Stockton South/Stockton Southeast
169c,Stockton Northwest/Stockton West
170,Atascadero/Templeton
171,Arroyo Grande/Nipomo/Oceano/Pismo Beach
172,San Luis Obispo
173,El Paso de Robles/Lake Nacimiento/San Miguel/Shandon
174,Baywood/Cambria/Cayucos/Morro Bay/Los Osos
175.1,El Granada/Half Moon Bay/Miramar/Montara/Moss Beach/Princeton by the Sea/Skyline
175.2,La Honda/Loma Mar/Pescadero/San Gregorio/Sky Londa
175.3,Pacifica/Rockaway Beach/San Pedro Terrace/Sharp Park/Vallemar
176a,Brisbane/Burlingame Northeast/Colma/Daly City East/Millbrae East/San Bruno/South San Francisco
176b,East Menlo Park/East Palo Alto/North Fair Oaks/Redwood City East
176c,Atherton/Lindenwood/Menlo Oaks/Menlo Park/Redwood City Central/Sharon Heights/West Menlo Park/Woodside/Woodside Hills
176d,Broadmoor Village/Daly City West/San Bruno Northwest/Serramonte/Westborough
176e,Burlingame Hills/Burlingame Southwest/Hillsborough/Hillsdale/Millbrae West/San Bruno Central/San Mateo West
176f,Foster City/Redwood Shores/San Mateo East
176g,Belmont/Devonshire/Emerald Lake/Farm Hills/Palomar Park/San Carlos West/The Highlands
177,Carpinteria/New Cuyama/Summerland/Toro Canyon
178.1,Buellton/Los Olivos/Santa Ynez/Solvang
178.2,Los Alamos
179,Lompoc/Mission Hills/Vandenberg
180.1,Orcutt/Santa Maria
180.2,Guadalupe
181a,Goleta South/Isla Vista/Santa Barbara South
181b,Goleta North/Mission Canyon/Montecito/Riviera/Santa Barbara North
182,Gilroy/Morgan Hill/Rucker/San Martin
183a,Los Altos/Los Altos Hills/Palo Alto Central/Stanford
183b,Berryessa/East San Jose/Milpitas East
183c,Sunnyvale South
183d,Downtown San Jose
183e,Alum Rock South/San Jose East
183f,Cupertino/Rancho Rinconada/San Jose West/Saratoga
183g,Cambrian Village East/San Jose South Central
183h,San Jose Southeast
183i,New Almaden/San Jose Southwest
183j,San Jose Northwest
183k,Evergreen/San Jose East Central
183l,Alviso/Palo Alto Bayshore/Santa Clara Northwest/Sunnyvale North
183m,Cambrian Village West/Campbell South/Los Gatos/Monte Sereno/San Tomas
183n,Santa Clara South and West
183o,Milpitas West/Santa Clara Northeast
184,Freedom/Watsonville
185.1,Aptos/Capitola/Live Oak/Rio del Mar/Santa Cruz
185.2,Davenport
185.5,Amesti/Corralitos/Day Valley/Interlaken/Pajaro Dunes
185.3,Ben Lomond/Felton/Scotts Valley
185.4,Boulder Creek
186,Anderson/Cottonwood/French Gulch/Happy Valley/Igo/Ono/Platina/Shasta
187,Castella/Lakehead/O?Brien
188.1,Big Bend/Montgomery Creek/Oak Run/Round Mountain
188.2,Manton/Millville/Shingletown/Viola
189.1,Palo Cedro
189.2,Redding
189.3,Bella Vista/City of Shasta Lake
190,Burney/Cassel/Fall River Mills/Hat Creek/McArthur
191,Alleghany/Calpine/Downieville/Goodyear Bar/Sattley/Sierra City/Sierraville
193,Happy Camp
194,Etna/Fort Jones/Greenview
195,Gazelle/Grenada/Hilt/Hornbrook/Yreka
196,Tulelake
197,Carrick/Edgewood/Mount Shasta/Weed
198,Dunsmuir
199,McCloud/Tennant
200,Dorris/Macdoel/Mount Hebron
201,Dixon
202a,Vacaville
202b,Fairfield
203.1,Benicia/Collinsville/Suisun City
203.2,Rio Vista
204,Vallejo
205.1,Geyserville/Healdsburg
205.2,Windsor
206,Cloverdale
207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch
208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg
209.1,Petaluma
209.2,Two Rock/Valley Ford
210.1,Santa Rosa
210.2,Bodega/Sebastopol
211,Oakdale/Riverbank
212.1,Denair/Turlock
212.2,Keyes
212.3,Salida
213,Crows Landing/Empire/Grayson/Newman/Patterson/Westley
214,Hughson
215a,Modesto West
215b,Modesto East
215c,Ceres/Modesto South Central
216,Meridian/Robbins/Yuba City
217,Nicolaus/Pleasant Grove
218,Live Oak
219,Paskenta/Rancho Tehama
220,Dairyville/Manton/Mineral/Paynes Creek
221,Gerber/Los Flores/Proberta/Red Bluff
222,Corning/Los Molinos/Tehama/Vina
223,Junction City/Salyer
224,Douglas City/Lewiston/Trinity Center/Weaverville
225,Forest Glen/Hayfork/Hyampom/Peanut
226,Kettenpom/Mad River/Ruth/Xenia
227.1,Dinuba
227.2,Cutler-Orosi
228.1,Ivanhoe/Woodlake
228.2,Exeter/Lemon Cove/Lindsay/Strathmore
229,Three Rivers
230,Tipton/Tulare/Woodville
231,Alpaugh/Earlimart/Pixley/Porterville/Rich Grove/Terra Bella
232,Springville
233,Farmersville/Goshen/Visalia
234.1,Chinese Camp
234.2,Columbia/Jamestown/Sonora
235,Big Oak Flat/Groveland
236,East Sonora/Mi-Wuk Village/Soulsbyville/Tuolumne City/Twain Harte
237,Fillmore/Los Padres National Forest/Piru/Santa Paula/Saticoy
238,Meiners Oaks/Oak View/Ojai
239,Camarillo/Moorpark
240a,Simi Valley East
240b,Thousand Oaks Central and West
240c,Simi Valley West/Thousand Oaks East
241a,Oxnard East/Oxnard West/Oxnard South Central/Port Hueneme
241b,Oxnard North Central
241c,Ventura
242,Winters
243,Esparto/Rumsey
244,Davis
245,Bryte/Broderick/Clarksburg/Riverview/West Sacramento
246.1,Woodland
246.2,Knights Landing
247,Browns Valley/Brownsville/Dobbins/Oregon House
248,Wheatland
249,Marysville
